cust_id,first_name,last_name,address,city,state,zip,amount_paid
CUST-10260,Shirley,Flores,6476 Brook Ln Rm 42,,IL,60602,1076.94
CUST-10665,Barbara,Walker,,Washington,DC,20003,213.18
CUST-10079,Joseph,King,4350 Oak Ave,Jacksonville,FL,32204,548.51
CUST-10377,Larry,Bailey,9065 Hill St,Fort Worth,TX,76103,409.38
CUST-11188,,Collins,6975 Brook Ln,New Orleans,LA,70116,583.98
CUST-10389,Justin  ,Kelly,9561 Summit Dr,,NC,28201,241.24
CUST-11391,Barbara,Gutierrez,3309 Hill St,Fresno,CA,93703,-720.18
CUST-11317,Jeffrey,King,3362 Woodland Rd,Boston,MA,02102,1094.39
CUST-10026,Daniel,Cook,8318 Brook Ln,San Antonio,TX,78203,237.18
,Jonathan,Nelson,,Memphis,TN,38101,978.7
CUST-10852,,Rodriguez,3235 Grove Ave,Indianapolis,IN,46201,801.47
CUST-10041,Timothy,Reyes,P.O. Box 545,Aurora,CO,80010,949.59
CUST-10696,,Anderson,2429 Spring St Ste 38,Portland,OR,97202,759.95
CUST-10667,Ashley,Rodriguez,Grove Ave,Washington,DC,20003,
CUST-11007,,Harris,8907 Valley Rd,Omaha,NE,68102,521.22
CUST-11048,jacob,Kelly,8981 Sunset Blvd,Baltimore,MD,,
CUST-11597,,,Sunrise Ave,El Paso,TX,79904,-809.17
CUST-11423,debra,Hill,5221 Maple Dr,Las Vegas,,89104,398.85
CUST-11250,Lisa,Ramos,1871 Summit Dr,,AZ,85001,0
CUST-11376,,Hernandez,1896 Sunset Blvd,Oklahoma City,OK,73104,TBD
CUST-10645,gary,Hall,5270 Sunset Blvd,Omaha,NE,68105,319.5
CUST-10272,kevin,Hall,,Aurora,CO,80011,469.45
,Amy,,9065 Sunrise Ave,Kansas City,MO,,1416.3
CUST-10484,Samantha,Johnson,1355 Summit Dr,New Orleans,LA,70113,1219.35
CUST-11039,barbara,Adams,8000 Mill Rd,Tucson,AZ,85702,1289.0
CUST-11690,Stephen,Hernandez,4835 Meadow Ln,Dallas,TX,75201,954.58
CUST-11097,Lisa,Diaz,,,CO,80205,$1306.25
CUST-10718,Nicole,Flores,6944 Sunset Blvd,Bakersfield,CA,93303,853.94
CUST-11745,Melissa,,263 Sunrise Ave,Fort Worth,TX,76101,342646.37
CUST-11108,Nancy,Thomas,58 Brook Ln,,TX,75202,
CUST-11635,James  ,,5293 Sunrise Ave,Virginia Beach,VA,23450,597.84
CUST-11236,Kathleen,Thomas,5881 Forest Dr,Omaha,,68105,305.23
CUST-11572,David,Lopez,,Houston,TX,77004,780.53
CUST-11344,William,Kim,,Baltimore,MD,21203,969.66
CUST-10162,Jennifer,Parker,9892 River Rd,MD,Baltimore,21203,1057.07
,emma,Peterson,8314 Maple Dr,Columbus,OH,43201,pending
CUST-11580,Jennifer,,6087 Hill St,San Jose,CA,95101,
CUST-11028,Christopher,Morgan,5773 Forest Dr,Raleigh,NC,27604,457.19
CUST-11593,Michael,Reed,7797 Highland Ave,Kansas City,MO,64102,0
CUST-11361,Thomas  ,Clark,Mill Rd,Dallas,TX,,606.09
CUST-11709,Michelle,RAMOS,528 Elm St,Los Angeles,CA,90005,397.7
,,miller,6876 Pine Rd,Memphis,TN,38103,224.71
CUST-10282,Jacob  ,Cook,7382 Cedar Ln,San Jose,CA,95101,128.42
CUST-11737,,Hernandez,,Atlanta,GA,30302,127.72
CUST-11505,Michael,Peterson,8412 Cedar Ln,Phoenix,AZ,,696.81
CUST-10378,Barbara,,9009 River Rd,Sacramento,CA,94205,1467.31
CUST-10347,Mark,THOMAS,3879 Summit Dr,,TX,76102,1385.37
CUST-11477,Lisa,Green,2479 Woodland Rd,Baltimore,MD,,182.38
,,Sanchez,2902 Meadow Ln,Columbus,OH,,96.3
CUST-10568,Michelle,Torres,# 556,El Paso,TX,79905,885.57
CUST-11246,BENJAMIN,Morgan,3818 Maple Dr,San Jose,CA,95105,$775.39
CUST-11403,Jason,Hall,5756 Oak Ave,Washington,DC,20004,1077.04
CUST-10131,Amy,Adams,3476 Valley Rd,Jacksonville,FL,32203,
CUST-10104,Sandra,Roberts,3506 Maple Dr,New Orleans,LA,70113,974.78
CUST-11273,Richard,Walker,3277 Sunset Blvd,Baltimore,MD,21204,161.33
CUST-11097,Lisa,Diaz,Ste 669,Denver,CO,80205,1221.89
CUST-11049,Dorothy,HERNANDEZ,7119 Ridge Rd,,KY,,
CUST-11199,Amanda,Nguyen,579 Mill Rd,Denver,CO,80202,$1272.29
CUST-11491,larry,Taylor,4636 Forest Dr,Columbus,OH,,-990.3
CUST-11118,,,,,IL,60601,1094.53
CUST-10272,,Hall,Suite 63,Aurora,CO,80011,558.05
CUST-10268,Ryan,Campbell,1735 Park Ave,Philadelphia,PA,19104,0
CUST-11504,Kenneth  ,Young,4842 Spring St,,MO,64104,pending
CUST-11250,Lisa,Ramos  ,1871 Summit Dr,Phoenix,AZ,85001,0
CUST-11578,Robert,Lee,1946 Brook Ln,Atlanta,GA,30303,435.23
CUST-11556,Stephen,Hill,5639 Main St,Aurora,CO,80012,878.91
CUST-11158,Scott,,5827 Hill St,Cleveland,OH,44104,17.05
CUST-10409,JACOB,Morris,4707 Forest Dr,Virginia Beach,VA,23451,113.48
CUST-10300,Donald,,6027 School Rd,Tucson,AZ,85702,755.49
,Katherine,Walker,1144 Lake Blvd,San Antonio,TX,78203,1112.81
CUST-10350,ronald,Morris,6709 Spring St,Kansas City,MO,64104,$508.36
CUST-11053,Pamela,Lopez,6940 Valley Rd,San Diego,CA,92104,467.31
CUST-10778,Helen,Gonzalez,7896 Valley Rd,Las Vegas,NV,89102,
CUST-10675,christopher,Miller,3368 Lake Blvd Suite 86,San Antonio,,78203,1197.27
CUST-10275,Larry,Howard,Suite 685,Milwaukee,WI,,1028.45
CUST-11746,,Johnson,Bldg 444,El Paso,TX,79902,1379.22
