cust_id,first_name,last_name,address,city,state,zip,amount_paid
CUST-11718,Timothy,Gomez,Woodland Rd,Austin,,,1428.06
CUST-11437,Margaret,Scott,4167 Spring St,Milwaukee,WI,53204,1334.54
CUST-10910,Samantha,Smith,,Philadelphia,PA,19102,
CUST-10266,Pamela,Diaz,6844 Hill St,Omaha,NE,68104,$701.24
CUST-10141,Emma,Ortiz,Apt 338,Raleigh,NC,27603,1279.22
CUST-10707,William,Flores,Elm St,Bakersfield,CA,,60.24
CUST-11736,Sarah,Adams,Unit 321,Minneapolis,MN,55404,1349.44
CUST-11130,William,Flores,Suite 668,Nashville,,37205,52.94
CUST-11713,Laura,Hill,1710 School Rd,Philadelphia,PA,19102,145.56
CUST-11642,Sharon,Brown,4103 Park Ave,,,,21.94
CUST-10488,Gregory,Jones,257 Lake Blvd,Jacksonville,FL,32202,1121.47
CUST-11548,Nicholas,PEREZ,6102 Mill Rd,Philadelphia,PA,19103,
CUST-10330,Jason,Hernandez,2957 Woodland Rd,Las Vegas,NV,89105,N/A
CUST-10775,Joseph,Evans,1038 River Rd Suite 77,Milwaukee,WI,53201,714.19
CUST-11082,,Scott,1750 Elm St,San Jose,CA,95102,
CUST-11604,Michael  ,Sanchez,9602 Park Ave,San Francisco,CA,94105,466.9
CUST-10018,,Jackson,4041 Grove Ave,Indianapolis,IN,46202,
CUST-10014,Ashley,Lee,4423 Church St,Albuquerque,NM,87104,830.94
CUST-11067,Richard,Green,,Fresno,CA,93704,40.5
CUST-11695,Raymond,Martinez,,Washington,DC,20001,958.63
CUST-11447,Jason,Gonzalez,8296 Maple Dr,Austin,TX,,368.16
CUST-10693,,Kim,1098 Maple Dr,Indianapolis,IN,46203,535.39
CUST-11147,Donna,Garcia,1427 Forest Dr,Tampa,FL,33605,737.23
CUST-10380,Melissa,Baker,2364 Lake Blvd,Atlanta,GA,30303,314.54
CUST-10764,ANGELA,,,Aurora,CO,80010,458.5
CUST-11240,Matthew,Hill,,New Orleans,,70115,666.53
